vendor_name,total_projects,avg_final_risk,high_risk_projects,iso_anomalies,false_completions,avg_utilization,total_allocated,avg_delay_days,avg_citizen_rating,vendor_risk_score,vendor_risk_label
Vendor_1042,54,0.3420621821485432,2,10,13,0.7415925925925926,14078048432,50.22222222222222,3.007962962962963,0.9178710994459026,High
Vendor_1007,52,0.29312790748722634,2,4,10,0.7167692307692307,11688976799,58.51923076923077,2.8923076923076922,0.6538868655037765,High
Vendor_1057,61,0.2974196375517792,1,3,16,0.7056885245901638,13704292378,63.24590163934426,2.9516393442622952,0.6007154567785608,High
Vendor_1079,47,0.29651145755129593,2,3,6,0.8264468085106382,11262341435,43.276595744680854,2.935531914893617,0.5430540195798962,Medium
Vendor_1044,59,0.2976280222051342,1,4,11,0.8589152542372882,14543494157,55.20338983050848,2.863559322033898,0.5391511205477046,Medium
Vendor_1030,54,0.30908994497275266,1,3,12,0.7434074074074074,12887953686,47.907407407407405,3.024074074074074,0.534425445690238,Medium
Vendor_1064,46,0.3008134284012703,1,4,8,0.7958913043478262,9600774556,58.23913043478261,2.789565217391304,0.5308837361485126,Medium
Vendor_1063,46,0.28416684011474913,2,2,6,0.7583695652173913,10599067228,54.17391304347826,2.9928260869565215,0.5295393452644969,Medium
Vendor_1069,58,0.2865827173907353,1,4,14,0.7682241379310345,13117246281,51.58620689655172,2.8405172413793105,0.5214486751465284,Medium
Vendor_1053,48,0.3159125272512622,1,3,7,0.7246875,11301516583,47.791666666666664,2.7583333333333333,0.5044844711479091,Medium
Vendor_1055,52,0.285872665971392,1,5,11,0.7795384615384615,11675494445,47.5,2.791153846153846,0.4929572916113852,Medium
Vendor_1054,46,0.29350299760959364,1,2,11,0.7705,10214755623,56.391304347826086,3.0819565217391305,0.49149784385726597,Medium
Vendor_1082,56,0.29714866561219117,1,4,7,0.7274642857142857,11538935565,45.892857142857146,2.8194642857142855,0.46044265055146,Medium
Vendor_1099,53,0.29117572666696717,1,5,8,0.7416981132075472,12233285164,42.24528301886792,3.1152830188679244,0.45787621091954545,Medium
Vendor_1017,53,0.28058886134670147,1,3,7,0.7449245283018868,10822281167,59.37735849056604,2.94811320754717,0.44460424276375426,Medium
Vendor_1034,52,0.29584959910863123,1,2,9,0.6725,11462610477,47.71153846153846,2.8048076923076923,0.44381456394503094,Medium
Vendor_1090,47,0.29046082026152525,1,6,3,0.8236170212765958,11143738308,43.1063829787234,2.6910638297872342,0.4291724360943262,Medium
Vendor_1005,48,0.27958235636080603,1,4,6,0.7168333333333333,10213401933,51.208333333333336,2.990625,0.41887913933275767,Medium
Vendor_1002,61,0.26337232484851847,1,4,11,0.7689344262295082,13967485129,49.557377049180324,2.8281967213114756,0.41351129003936,Medium
Vendor_1075,47,0.27290560224815247,1,2,9,0.7543617021276595,10143788669,57.06382978723404,2.980425531914894,0.4122328520719106,Medium
